Instance, Time, ExploredNodes, RemainingNodes
i01, 0.0013000830000000074, 9, 106
i02, 0.0006344580000000044, 9, 86
i03, 11.271877834, 155041, 1165984
i04, 2.418561208, 19188, 222297
i05, 0.077259417, 689, 6119
i06, 0.002065375000000008, 32, 247
i07, 0.019009666999999994, 334, 2604
i08, 0.0005852090000000032, 16, 69
i09, 0.0008250409999999986, 11, 64
i10, 0.0006373329999999899, 9, 86
