Instance, Time, ExploredNodes, RemainingNodes
i01, 0.0006517500000000065, 9, 70
i02, 0.002284750000000002, 9, 50
i03, 0.005691917000000005, 150, 170
i04, 0.009178084000000003, 141, 456
i05, 0.0043867920000000005, 66, 283
i06, 0.0005977080000000023, 14, 57
i07, 0.0012282499999999863, 32, 46
i08, 0.00032654099999999964, 10, 24
i09, 0.0005146669999999964, 11, 37
i10, 0.0005081670000000038, 9, 50
