Instance, Time, ExploredNodes, RemainingNodes
i01, 0.00752383299999998, 116, 1421
i02, 0.004608666999999997, 96, 861
i03, 69.18041575, 1321026, 9885054
i04, 18.061915917, 241486, 2766189
i05, 0.402020917, 6809, 65874
i06, 0.010644874999999998, 280, 2259
i07, 0.116076875, 2939, 22495
i08, 0.002416166999999997, 86, 433
i09, 0.0033621250000000075, 76, 581
i10, 0.004332041999999994, 96, 861
